Round,Loss
0,0.5620737312521253
1,0.4371695167305214
2,0.4300952758462656
3,0.3985711448905723
4,0.3880027906229453
5,0.3752665869479201
6,0.36391162082210793
7,0.3716660352287414
8,0.36368415294747264
9,0.3658655445924295
10,0.37195813465887656
11,0.37342049920554493
12,0.36599194488170866
13,0.3590894205109882
14,0.3617809327895798
15,0.35690082538058054
16,0.35061767556008044
17,0.348984809302178
18,0.35096241934323
19,0.3458202547430993
20,0.3462586523967537
21,0.3470782286296419
22,0.3445291087619083
23,0.3415150906673324
24,0.341176175757817
25,0.33852055113987783
26,0.33932718800233014
27,0.339184419634201
28,0.3396074051024587
29,0.3400558606034945
30,0.3380099625603946
31,0.33669747557906854
32,0.3373729806956212
33,0.337107973082633
34,0.33625764583735457
35,0.33430309506029726
36,0.33333927564768834
37,0.33121744277880044
38,0.33051695761403865
39,0.33030823378278207
40,0.3317980140198397
41,0.33224317102712014
42,0.33245278694997976
43,0.33207861638035274
44,0.33047730381029916
45,0.3296375944849495
46,0.32780190012035554
47,0.3273315561000655
48,0.3269431296772928
49,0.3286466037652321
50,0.328983492791569
51,0.32824115748793525
52,0.329003365365763
53,0.330389254645459
54,0.3315072492337844
55,0.33310386461909003
56,0.33190499671699836
57,0.3313027484514955
58,0.33119236182809286
59,0.3310948810939276
60,0.33061831336834857
61,0.3319390415279236
62,0.33048994412793514
63,0.3303566279846874
64,0.32993526510967974
65,0.33147793124546787
66,0.33231848499437816
67,0.33201276749129854
68,0.33200280191403786
69,0.3310975729022554
70,0.3313770300550928
71,0.33132432438226195
72,0.33173520434319725
73,0.3306494906464137
74,0.33245451665974785
75,0.33132800382344896
76,0.3302283458653595
77,0.32994893306641127
78,0.3297974510893738
79,0.32846797699906993
80,0.32747778549323897
81,0.32761957635762307
82,0.32779872132638366
83,0.32800586687277394
84,0.32706591408195745
85,0.3269095796243014
86,0.32618346014872124
87,0.32605098374278657
88,0.3254353752735266
89,0.3253726767512659
90,0.3255759009698426
91,0.3259713987648047
92,0.32562010242064376
93,0.32500173737858296
94,0.3260731818986342
95,0.3261098916226599
96,0.3263081641253825
97,0.3258973478977691
98,0.32577720407853483
99,0.3253387492300144
